Date,Open,High,Low,Close,Adj Close,Volume,Open_Direction,High_Direction,Low_Direction,Close_Direction,Adj Close_Direction
2016/1/5,26.4375,26.46249962,25.60250092,25.67749977,23.34682274,223164000,up,up,up,down,down
2016/1/6,25.13999939,25.59250069,24.96750069,25.17499924,22.88993454,273829600,down,down,down,down,down
2016/1/7,24.67000008,25.03249931,24.10750008,24.11249924,21.92387962,324377600,down,down,down,down,down
2016/1/8,24.63750076,24.77750015,24.19000053,24.23999977,22.03980827,283192000,down,down,up,up,up
2016/1/11,24.74250031,24.76499939,24.33499908,24.63249969,22.39667892,198957600,up,down,up,up,up
2016/1/12,25.13750076,25.17250061,24.70999908,24.98999977,22.72172546,196616800,up,up,up,up,up
2016/1/13,25.07999992,25.29750061,24.32500076,24.34749985,22.13754654,249758400,down,up,down,down,down
2016/1/14,24.48999977,25.12000084,23.93499947,24.87999916,22.62171364,252680400,down,down,down,up,up
2016/1/15,24.04999924,24.42749977,23.84000015,24.28249931,22.07844353,319335600,down,down,down,down,down
2016/1/19,24.60250092,24.66250038,23.875,24.16500092,21.97161102,212350800,up,up,up,down,down
2016/1/20,23.77499962,24.54750061,23.35499954,24.19750023,22.00115967,289337600,down,down,down,up,up
2016/1/21,24.26499939,24.46999931,23.73500061,24.07500076,21.88977814,208646000,up,down,up,down,down
2016/1/22,24.65749931,25.36499977,24.59250069,25.35499954,23.0535965,263202000,up,up,up,up,up
2016/1/25,25.37999916,25.38249969,24.80249977,24.86000061,22.60352707,207178000,up,up,up,down,down
2016/1/26,24.98250008,25.21999931,24.51749992,24.99749947,22.72854996,300308000,down,down,down,up,up
2016/1/27,24.01000023,24.15749931,23.33499908,23.35499954,21.2351284,533478800,down,down,down,down,down
2016/1/28,23.44750023,23.62999916,23.09749985,23.52249908,21.38742065,222715200,down,down,down,up,up
2016/1/29,23.69750023,24.33499908,23.58749962,24.33499908,22.12617493,257666000,up,up,up,up,up
2016/2/1,24.11750031,24.17749977,23.85000038,24.10750008,21.9193306,163774000,up,down,up,down,down
2016/2/2,23.85499954,24.01000023,23.56999969,23.62000084,21.47608376,149428800,down,down,down,down,down
2016/2/3,23.75,24.20999908,23.52000046,24.08749962,21.90114403,183857200,down,up,down,up,up
2016/2/4,23.96500015,24.33250046,23.79750061,24.14999962,22.07711792,185886800,up,up,up,up,up
2016/2/5,24.12999916,24.22999954,23.42250061,23.50499916,21.48748589,185672400,up,down,down,down,down
2016/2/8,23.28249931,23.92499924,23.26000023,23.75250053,21.7137413,216085600,down,down,down,up,up
2016/2/9,23.57250023,23.98500061,23.48250008,23.74749947,21.70916748,177324800,up,up,up,down,down
2016/2/10,23.97999954,24.08749962,23.52499962,23.56749916,21.54461479,169374400,up,up,up,down,down
2016/2/11,23.44750023,23.68000031,23.14749908,23.42499924,21.41435242,200298800,down,down,down,down,down
2016/2/12,23.54750061,23.625,23.25250053,23.49749947,21.48062706,161405600,up,down,up,up,up
2016/2/16,23.75499916,24.21249962,23.65250015,24.15999985,22.08626556,196231600,up,up,up,up,up
2016/2/17,24.16749954,24.55249977,24.03750038,24.53000069,22.42450714,179452800,up,up,up,up,up
2016/2/18,24.70999908,24.72249985,24.02249908,24.06500053,21.99941635,156084000,up,up,down,down,down
2016/2/19,24,24.19000053,23.95000076,24.01000023,21.94914246,141496800,down,down,down,down,down
2016/2/22,24.07749939,24.22500038,23.97999954,24.21999931,22.14111137,137123200,up,up,up,up,up
2016/2/23,24.10000038,24.125,23.63750076,23.67250061,21.64060593,127770400,up,down,down,down,down
2016/2/24,23.49500084,24.09499931,23.32999992,24.02499962,21.96285439,145022800,down,down,down,up,up
